,category,language,mother_tongue,most_at_home,most_at_work,lang_known
0,Aboriginal languages,"Aboriginal languages, n.o.s.",590,235,30,665
1,Non-Official & Non-Aboriginal languages,Afrikaans,10260,4785,85,23415
2,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",1150,445,10,2775
3,Non-Official & Non-Aboriginal languages,Akan (Twi),13460,5985,25,22150
4,Non-Official & Non-Aboriginal languages,Albanian,26895,13135,345,31930
5,Aboriginal languages,"Algonquian languages, n.i.e.",45,10,0,120
6,Aboriginal languages,Algonquin,1260,370,40,2480
7,Non-Official & Non-Aboriginal languages,American Sign Language,2685,3020,1145,21930
8,Non-Official & Non-Aboriginal languages,Amharic,22465,12785,200,33670
9,Non-Official & Non-Aboriginal languages,Arabic,419890,223535,5585,629055
10,Non-Official & Non-Aboriginal languages,Armenian,33460,21510,450,41295
11,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,16070,10510,205,19740
12,Aboriginal languages,"Athabaskan languages, n.i.e.",50,10,0,85
13,Aboriginal languages,Atikamekw,6150,5465,1100,6645
14,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",170,80,0,190
15,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",4195,1160,35,5585
16,Non-Official & Non-Aboriginal languages,Azerbaijani,3255,1245,25,5455
17,Aboriginal languages,Babine (Wetsuwet'en),110,20,10,210
18,Non-Official & Non-Aboriginal languages,Bamanankan,1535,345,0,3190
19,Aboriginal languages,Beaver,190,50,0,340
20,Non-Official & Non-Aboriginal languages,Belarusan,810,225,0,2265
21,Non-Official & Non-Aboriginal languages,Bengali,73125,47350,525,91220
22,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",8985,2615,15,12510
23,Non-Official & Non-Aboriginal languages,Bikol,1785,290,0,2075
24,Non-Official & Non-Aboriginal languages,Bilen,805,615,15,1085
25,Aboriginal languages,Blackfoot,2815,1110,85,5645
26,Non-Official & Non-Aboriginal languages,Bosnian,12215,6045,155,18265
27,Non-Official & Non-Aboriginal languages,Bulgarian,20020,11985,200,22425
28,Non-Official & Non-Aboriginal languages,Burmese,3585,2245,75,4995
29,Non-Official & Non-Aboriginal languages,Cantonese,565270,400220,58820,699125
30,Aboriginal languages,Carrier,1025,250,15,2100
31,Non-Official & Non-Aboriginal languages,Catalan,870,350,30,2035
32,Aboriginal languages,Cayuga,45,10,10,125
33,Non-Official & Non-Aboriginal languages,Cebuano,19890,7205,70,27040
34,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",525,80,10,3595
35,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,5545,3445,35,7115
36,Aboriginal languages,Chilcotin,655,255,15,1150
37,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",615,280,0,590
38,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",38580,23940,2935,41685
39,Aboriginal languages,Comox,85,0,0,185
40,Aboriginal languages,"Cree, n.o.s.",64050,37950,7800,86115
41,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",4985,2005,15,16635
42,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",64110,24570,310,133045
43,Non-Official & Non-Aboriginal languages,Croatian,48200,16775,220,69835
44,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",365,180,0,480
45,Non-Official & Non-Aboriginal languages,Czech,22295,6235,70,28725
46,Aboriginal languages,Dakota,1210,255,20,1760
47,Non-Official & Non-Aboriginal languages,Danish,12630,855,85,15750
48,Aboriginal languages,Dene,10700,7710,770,13060
49,Non-Official & Non-Aboriginal languages,Dinka,2120,1130,0,2475
50,Aboriginal languages,Dogrib (Tlicho),1650,1020,165,2375
51,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",490,190,0,790
52,Non-Official & Non-Aboriginal languages,Dutch,99015,9565,1165,120870
53,Non-Official & Non-Aboriginal languages,Edo,1670,410,0,3220
55,Non-Official & Non-Aboriginal languages,Estonian,5445,975,55,6070
56,Non-Official & Non-Aboriginal languages,Ewe,1760,405,10,3000
57,Non-Official & Non-Aboriginal languages,Fijian,745,195,0,1665
58,Non-Official & Non-Aboriginal languages,Finnish,15295,2790,105,17590
60,Non-Official & Non-Aboriginal languages,Frisian,2100,185,40,2910
61,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",2825,825,0,4725
62,Non-Official & Non-Aboriginal languages,Ga,920,250,0,2250
63,Non-Official & Non-Aboriginal languages,Ganda,1295,345,25,2495
