island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,cluster,bill_length_standardized,flipper_length_standardized
Dream,39.2,21.1,196,4150,male,2007,1,-0.6413608234665980,-0.18977311412979400
Dream,36.5,18,182,3150,female,2007,1,-1.1449171404371400,-1.328411798908560
Biscoe,34.5,18.1,187,2900,female,2008,1,-1.5179218196745800,-0.921755125773284
Torgersen,36.7,18.8,187,3800,female,2008,1,-1.1076166725134000,-0.921755125773284
Biscoe,38.1,17,181,3175,female,2009,1,-0.8465133970471910,-1.4097431335356100
Dream,39.2,18.6,190,4250,male,2009,1,-0.6413608234665980,-0.6777611218921210
Dream,36,17.8,195,3450,female,2009,1,-1.2381683102465000,-0.27110444875684900
Dream,37.8,18.1,193,3750,male,2009,1,-0.9024640989328080,-0.4337671180109580
Biscoe,46.5,14.5,213,4400,female,2007,3,0.7201062557500590,1.1928595745301300
Biscoe,46.1,15.1,215,5100,male,2007,3,0.6455053199025720,1.3555222437842400
Biscoe,47.8,15,215,5650,male,2007,3,0.9625592972543950,1.3555222437842400
Biscoe,45,15.4,220,5050,male,2008,3,0.440352746321979,1.7621789169195100
Biscoe,49.1,14.5,212,4625,female,2009,3,1.2050123387587300,1.111528239903080
Biscoe,43.3,14,208,4575,female,2009,3,0.12329876897015400,0.7862029013948580
Dream,46,18.9,195,4150,female,2007,2,0.6268550859406990,-0.27110444875684900
Dream,46.7,17.9,195,3300,female,2007,2,0.757406723673804,-0.27110444875684900
Dream,52.2,18.8,197,3450,male,2009,2,1.7831695915767700,-0.10844177950274000
Dream,46.8,16.5,189,3650,female,2009,2,0.776056957635675,-0.7590924565191750
